epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5633,0,102.999,0,0,0,0,0,0,81.5793,0,5.716e-05,5.716e-05,5.716e-05
2,61.9241,0,100.631,0,0,0,0,0,0,81.5181,0,0.000126064,0.000126064,0.000126064
3,91.3356,0,96.7345,0,0,0,0,0,0,81.1416,0,0.000192138,0.000192138,0.000192138
4,120.551,0,91.9167,0,0,0,0,0,0,81.0333,0,0.000255382,0.000255382,0.000255382
5,151.488,0,88.1135,0,0,0,0,0,0,80.5699,0,0.000315798,0.000315798,0.000315798
6,181.168,0,85.9227,0,0,0,0,0,0,80.1155,0,0.000373383,0.000373383,0.000373383
7,210.452,0,83.2962,0,0,0,0,0,0,77.7586,0,0.00042814,0.00042814,0.00042814
8,243.286,0,80.5572,0,0,0,0,0,0,75.0973,0,0.000480067,0.000480067,0.000480067
9,274.163,0,77.9305,0,0,0,0,0,0,70.2143,0,0.000529164,0.000529164,0.000529164
10,305.61,0,75.626,0,0,0,0,0,0,70.9484,0,0.000575433,0.000575433,0.000575433
11,335.685,0,73.8595,0,0,0,0,0,0,62.8874,0,0.000618871,0.000618871,0.000618871
12,365.713,0,72.3321,0,0,0,0,0,0,61.1307,0,0.000659481,0.000659481,0.000659481
13,396.123,0,72.1773,0,0,0,0,0,0,80.6982,0,0.000697261,0.000697261,0.000697261
14,425.488,0,71.225,0,0,0,0,0,0,82.1702,0,0.000732211,0.000732211,0.000732211
15,455.02,0,69.5999,0,0,0,0,0,0,84.5801,0,0.000764332,0.000764332,0.000764332
16,484.339,0,67.9289,0,0,0,0,0,0,54.958,0,0.000793624,0.000793624,0.000793624
17,513.74,0,68.2009,0,0,0,0,0,0,56.1748,0,0.000820086,0.000820086,0.000820086
18,543.938,0,65.8153,0,0,0,0,0,0,49.9605,0,0.000843719,0.000843719,0.000843719
19,573.837,0,65.1813,0,0,0,0,0,0,50.2158,0,0.000864522,0.000864522,0.000864522
20,604.502,0,63.6942,0,0,0,0,0,0,48.4508,0,0.000882496,0.000882496,0.000882496
21,633.803,0,63.0648,0,0,0,0,0,0,46.9338,0,0.000863116,0.000863116,0.000863116
22,663.983,0,62.2656,0,0,0,0,0,0,45.792,0,0.000834822,0.000834822,0.000834822
23,693.658,0,61.4413,0,0,0,0,0,0,45.3611,0,0.000806528,0.000806528,0.000806528
24,723.202,0,60.2261,0,0,0,0,0,0,799.785,0,0.000778233,0.000778233,0.000778233
25,752.799,0,59.3144,0,0,0,0,0,0,394.444,0,0.000749939,0.000749939,0.000749939
26,782.878,0,58.5414,0,0,0,0,0,0,185.696,0,0.000721645,0.000721645,0.000721645
27,812.55,0,57.583,0,0,0,0,0,0,120.917,0,0.000693351,0.000693351,0.000693351
28,842.272,0,56.7399,0,0,0,0,0,0,48.9028,0,0.000665057,0.000665057,0.000665057
29,871.86,0,55.8343,0,0,0,0,0,0,48.2177,0,0.000636762,0.000636762,0.000636762
30,904.823,0,55.8784,0,0,0,0,0,0,48.2713,0,0.000608468,0.000608468,0.000608468
31,936.895,0,54.8007,0,0,0,0,0,0,47.9401,0,0.000580174,0.000580174,0.000580174
32,965.702,0,54.1648,0,0,0,0,0,0,46.7557,0,0.00055188,0.00055188,0.00055188
33,994.859,0,53.4233,0,0,0,0,0,0,45.9916,0,0.000523586,0.000523586,0.000523586
34,1023.8,0,52.737,0,0,0,0,0,0,45.2838,0,0.000495291,0.000495291,0.000495291
35,1053.25,0,52.1958,0,0,0,0,0,0,44.7206,0,0.000466997,0.000466997,0.000466997
36,1082.77,0,51.6092,0,0,0,0,0,0,44.1148,0,0.000438703,0.000438703,0.000438703
37,1111.92,0,51.2147,0,0,0,0,0,0,43.77,0,0.000410409,0.000410409,0.000410409
38,1140.75,0,50.7935,0,0,0,0,0,0,43.534,0,0.000382115,0.000382115,0.000382115
39,1169.98,0,50.4187,0,0,0,0,0,0,43.2592,0,0.00035382,0.00035382,0.00035382
40,1199.34,0,49.9234,0,0,0,0,0,0,42.8853,0,0.000325526,0.000325526,0.000325526
41,1228.36,0,49.63,0,0,0,0,0,0,42.6663,0,0.000297232,0.000297232,0.000297232
42,1257.29,0,49.4498,0,0,0,0,0,0,42.5485,0,0.000268938,0.000268938,0.000268938
43,1288.87,0,49.0489,0,0,0,0,0,0,42.4359,0,0.000240644,0.000240644,0.000240644
44,1317.94,0,48.7976,0,0,0,0,0,0,43.0091,0,0.000212349,0.000212349,0.000212349
45,1346.96,0,48.6417,0,0,0,0,0,0,41.8759,0,0.000184055,0.000184055,0.000184055
46,1376.07,0,48.4503,0,0,0,0,0,0,41.5579,0,0.000155761,0.000155761,0.000155761
47,1404.92,0,48.2366,0,0,0,0,0,0,41.3785,0,0.000127467,0.000127467,0.000127467
48,1433.85,0,47.9597,0,0,0,0,0,0,41.2137,0,9.91726e-05,9.91726e-05,9.91726e-05
49,1462.86,0,48.0609,0,0,0,0,0,0,41.089,0,7.08784e-05,7.08784e-05,7.08784e-05
50,1491.71,0,47.9053,0,0,0,0,0,0,41.1027,0,4.25842e-05,4.25842e-05,4.25842e-05
